"product title"                      ,"product description"                                                                                                                                                                                                                                                        ,"URL"                                 ,"image url"                         ,"EAN"       ,"SKU"   ,"category"  ,"item 1 - Merchant name","item 1 - price","item 1 - shipping time"                ,"item 1 - shipping cost","item 1 - return in day","item 1 - free return","item 2 - Merchant name","item 2 - price","item 2 - shipping time"                ,"item 2 - shipping cost","item 2 - return in day","item 2 - free return","item 3 - Merchant name","item 3 - price","item 3 - shipping time"                ,"item 3 - shipping cost","item 3 - return in day","item 3 - free return"
"adhuc fames"                        ,"ac tritani menandri pretium vitae integer meliore tractatos recteque iisque consul suscipiantur salutatus perpetua porro ne fermentum tritani atomorum tritani vestibulum"                                                                                                  ,"http://www.provider.de/product/cTanw","http://www.provider.de/image/sSVpr","XNP9IB0XIV","hmBIrm","Category0" ,"Merchant13"            ,"90.90"         ,"Versandfertig in 3 - 4 Werktagen"      ,"4.76"                  ,"9"                     ,"true"                ,"Merchant17"            ,"36.43"         ,"Versandfertig in 4 - 5 Werktagen"      ,"3.50"                  ,"20"                    ,"false"               ,"Merchant25"            ,"90.51"         ,"Versandfertig in 1 - 2 Werktagen"      ,"1.69"                  ,"22"                    ,"false"
"nisl wisi tale"                     ,"utamur appetere class assueverit tempus graeco detracto massa prompta luptatum fringilla eam quaeque"                                                                                                                                                                       ,"http://www.provider.de/product/8CIRv","http://www.provider.de/image/tXsdy","CJ6QHZA7EI","y8b7AM","Category20","Merchant13"            ,"78.33"         ,"Versandfertig in 3 - 5 Wochen"         ,"1.94"                  ,"25"                    ,"false"               ,"Merchant1"             ,"54.41"         ,"Versandfertig in 6 - 10 Werktagen"     ,"0.32"                  ,"24"                    ,"true"                ,"Merchant15"            ,"113.89"        ,"Versandfertig in 1 - 3 Wochen"         ,"0.89"                  ,"28"                    ,"false"
"litora usu ex"                      ,"per veritus aperiri rutrum natoque sale adhuc magna fabulas inciderint dolor debet nascetur agam menandri repudiandae tempus et delectus ridiculus equidem et mediocrem convenire homero est donec"                                                                         ,"http://www.provider.de/product/xBsed","http://www.provider.de/image/qtnIc","1JNKH7M2JT","GR6Zqm","Category25","Merchant0"             ,"94.54"         ,"Versandfertig in 2 - 3 Werktagen"      ,"3.02"                  ,"17"                    ,"false"               ,"Merchant0"             ,"47.57"         ,"Gewöhnlich versandfertig in 24 Stunden","4.97"                  ,"24"                    ,"false"               ,"Merchant15"            ,"15.23"         ,"Versandfertig in 4 - 5 Werktagen"      ,"0.13"                  ,"22"                    ,"false"
"utroque vidisse"                    ,"eripuit consectetuer conubia persequeris tritani senserit sonet tincidunt elitr consectetuer oporteat singulis tantas rhoncus auctor porttitor brute magnis tortor augue class noster vis tantas himenaeos eleifend ac etiam"                                               ,"http://www.provider.de/product/OhwFZ","http://www.provider.de/image/ANHqu","ZE4GJGRZNM","5Y04Vh","Category10","Merchant2"             ,"74.36"         ,"Versandfertig in 1 - 3 Wochen"         ,"3.89"                  ,"10"                    ,"false"               ,"Merchant4"             ,"136.92"        ,"Versandfertig in 4 - 5 Werktagen"      ,"4.53"                  ,"21"                    ,"true"                ,"Merchant21"            ,"94.75"         ,"Versandfertig in 1 - 2 Werktagen"      ,"0.07"                  ,"20"                    ,"true"
"eius interpretaris mazim"           ,"neque adolescens deterruisset altera maecenas vitae epicuri lobortis ea noluisse dicit mel fermentum contentiones dicit urna indoctum"                                                                                                                                      ,"http://www.provider.de/product/xyzJj","http://www.provider.de/image/6NFte","U3KEWGYS41","7JB0Or","Category7" ,"Merchant16"            ,"121.13"        ,"Versandfertig in 2 - 3 Wochen"         ,"0.16"                  ,"11"                    ,"true"                ,"Merchant20"            ,"26.31"         ,"Versandfertig in 4 - 5 Werktagen"      ,"3.53"                  ,"9"                     ,"true"                ,"Merchant20"            ,"133.63"        ,"Versandfertig in 4 - 5 Werktagen"      ,"0.93"                  ,"8"                     ,"true"
"aptent per"                         ,"postea explicari quaeque explicari praesent iudicabit varius senectus saperet vim"                                                                                                                                                                                          ,"http://www.provider.de/product/UB0cB","http://www.provider.de/image/eVfyc","44G9OO0AQM","xTI0tU","Category24","Merchant9"             ,"127.08"        ,"Versandfertig in 3 - 5 Wochen"         ,"3.00"                  ,"7"                     ,"false"               ,"Merchant16"            ,"62.26"         ,"Versandfertig in 6 - 10 Werktagen"     ,"3.62"                  ,"24"                    ,"true"                ,"Merchant1"             ,"134.66"        ,"Versandfertig in 1 - 2 Werktagen"      ,"0.38"                  ,"16"                    ,"true"
"sodales laoreet"                    ,"inimicus sagittis qualisque litora sem adhuc gloriatur alia liber sapientem dictumst doming sadipscing causae causae vocent animal honestatis dicta quam audire dolor consul ocurreret ignota wisi ornare"                                                                  ,"http://www.provider.de/product/8d4i1","http://www.provider.de/image/kSV5D","FT81NYMW5E","3WWL6A","Category17","Merchant7"             ,"87.35"         ,"Versandfertig in 3 - 5 Wochen"         ,"4.48"                  ,"16"                    ,"true"                ,"Merchant19"            ,"16.05"         ,"Versandfertig in 2 - 3 Wochen"         ,"4.67"                  ,"26"                    ,"false"               ,"Merchant4"             ,"145.06"        ,"Versandfertig in 2 - 3 Wochen"         ,"4.90"                  ,"11"                    ,"true"
"ornatus inceptos"                   ,"adipiscing referrentur detracto platea vulputate antiopam invenire mnesarchum fabulas molestie indoctum tacimates vehicula ubique dicta consul has honestatis"                                                                                                              ,"http://www.provider.de/product/7zZrK","http://www.provider.de/image/QJy1N","LTTNT5XN8E","Jrxmyq","Category18","Merchant2"             ,"65.06"         ,"Versandfertig in 6 - 10 Werktagen"     ,"4.05"                  ,"20"                    ,"true"                ,"Merchant10"            ,"11.61"         ,"Versandfertig in 3 - 5 Wochen"         ,"4.44"                  ,"26"                    ,"true"                ,"Merchant21"            ,"12.23"         ,"Versandfertig in 1 - 2 Werktagen"      ,"4.21"                  ,"16"                    ,"true"
"putent rutrum vidisse"              ,"fusce similique erat ignota suavitate debet animal dicit ut melius possim auctor sumo minim eam elitr et docendi lectus"                                                                                                                                                    ,"http://www.provider.de/product/oP7ud","http://www.provider.de/image/sIILx","RHX4XQDYRM","Nidsro","Category8" ,"Merchant22"            ,"114.98"        ,"Versandfertig in 2 - 3 Werktagen"      ,"0.78"                  ,"10"                    ,"true"                ,"Merchant28"            ,"57.28"         ,"Versandfertig in 1 - 3 Wochen"         ,"4.36"                  ,"24"                    ,"false"               ,"Merchant10"            ,"93.17"         ,"Versandfertig in 6 - 10 Werktagen"     ,"1.34"                  ,"1"                     ,"true"
"ridens euismod falli"               ,"imperdiet neglegentur consequat unum salutatus luctus facilis movet detracto sententiae instructior consectetur his repudiare dicta torquent indoctum leo adversarium conubia mattis cetero delicata dictas augue adipiscing atomorum"                                      ,"http://www.provider.de/product/pj2Og","http://www.provider.de/image/ZMcW6","75UNJEQ3CG","mOVZLo","Category1" ,"Merchant8"             ,"120.24"        ,"Gewöhnlich versandfertig in 24 Stunden","4.26"                  ,"2"                     ,"false"               ,"Merchant0"             ,"129.60"        ,"Gewöhnlich versandfertig in 24 Stunden","0.45"                  ,"10"                    ,"false"               ,"Merchant5"             ,"123.93"        ,"Versandfertig in 2 - 3 Werktagen"      ,"0.83"                  ,"7"                     ,"true"
"fabulas varius"                     ,"propriae consectetuer ad vulputate euripidis ludus utroque dis eam vim iisque nostrum bibendum vestibulum suas nulla nobis usu porro atqui inimicus detraxit iusto moderatius autem offendit viris elaboraret"                                                              ,"http://www.provider.de/product/zmXbe","http://www.provider.de/image/L66r1","XNHO5V1XWX","scuIt4","Category7" ,"Merchant16"            ,"78.95"         ,"Versandfertig in 2 - 3 Wochen"         ,"2.29"                  ,"0"                     ,"true"                ,"Merchant5"             ,"82.91"         ,"Versandfertig in 3 - 5 Wochen"         ,"1.68"                  ,"9"                     ,"false"               ,"Merchant23"            ,"101.02"        ,"Gewöhnlich versandfertig in 24 Stunden","4.38"                  ,"5"                     ,"true"
"instructior luctus"                 ,"quod urna alterum necessitatibus antiopam ferri graeco maiorum non legimus diam menandri unum errem sanctus"                                                                                                                                                                ,"http://www.provider.de/product/S5Bg4","http://www.provider.de/image/GyWu9","VGVZBWZBMQ","4rpiSs","Category12","Merchant7"             ,"110.73"        ,"Versandfertig in 1 - 2 Werktagen"      ,"0.28"                  ,"9"                     ,"true"                ,"Merchant21"            ,"116.41"        ,"Versandfertig in 4 - 5 Werktagen"      ,"2.64"                  ,"22"                    ,"true"                ,"Merchant14"            ,"112.92"        ,"Versandfertig in 2 - 3 Wochen"         ,"2.06"                  ,"4"                     ,"false"
"dico solet"                         ,"libero consul efficitur sapientem docendi equidem viris interesset fabulas iusto eget indoctum ornatus malorum voluptatibus melius ultrices"                                                                                                                                ,"http://www.provider.de/product/wXA16","http://www.provider.de/image/CeLrn","0K8BWGVMTM","jIzL1I","Category16","Merchant23"            ,"32.80"         ,"Versandfertig in 3 - 4 Werktagen"      ,"2.32"                  ,"25"                    ,"false"               ,"Merchant0"             ,"128.71"        ,"Versandfertig in 6 - 10 Werktagen"     ,"0.89"                  ,"10"                    ,"true"                ,"Merchant5"             ,"139.86"        ,"Versandfertig in 2 - 3 Werktagen"      ,"2.45"                  ,"4"                     ,"false"
"senectus scripta natoque"           ,"leo quaeque tempus minim adolescens magna turpis mentitum dico convallis suas aliquip lacinia integer mattis sententiae inani facilisi definitiones ultricies eleifend nonumes neglegentur ponderum"                                                                        ,"http://www.provider.de/product/xRPSC","http://www.provider.de/image/r39cQ","BBUOVWSONR","ZVvRZO","Category20","Merchant2"             ,"61.44"         ,"Versandfertig in 1 - 2 Werktagen"      ,"2.30"                  ,"14"                    ,"false"               ,"Merchant13"            ,"58.10"         ,"Versandfertig in 1 - 2 Werktagen"      ,"2.70"                  ,"28"                    ,"true"                ,"Merchant10"            ,"133.44"        ,"Versandfertig in 4 - 5 Werktagen"      ,"4.89"                  ,"5"                     ,"false"
"tritani esse"                       ,"similique veritus dissentiunt interesset graeco expetendis comprehensam comprehensam simul perpetua fastidii tota dicat mentitum postulant lorem urna taciti expetenda decore amet"                                                                                         ,"http://www.provider.de/product/iFq1e","http://www.provider.de/image/pLLMl","MRGJJTUZWP","hAJ71H","Category22","Merchant8"             ,"56.45"         ,"Versandfertig in 3 - 4 Werktagen"      ,"1.30"                  ,"8"                     ,"true"                ,"Merchant29"            ,"101.98"        ,"Versandfertig in 6 - 10 Werktagen"     ,"4.83"                  ,"16"                    ,"false"               ,"Merchant8"             ,"47.65"         ,"Gewöhnlich versandfertig in 24 Stunden","3.62"                  ,"26"                    ,"true"
"populo urbanitas porro"             ,"utroque orci debet pericula dictumst expetendis conceptam agam parturient ludus dis ad taciti ipsum prodesset nec condimentum"                                                                                                                                              ,"http://www.provider.de/product/Pn1T8","http://www.provider.de/image/hLN5C","JJJIZRRIZ8","poNgCu","Category15","Merchant20"            ,"109.44"        ,"Versandfertig in 3 - 5 Wochen"         ,"1.86"                  ,"16"                    ,"true"                ,"Merchant11"            ,"148.89"        ,"Versandfertig in 2 - 3 Werktagen"      ,"2.03"                  ,"17"                    ,"true"                ,"Merchant0"             ,"90.78"         ,"Versandfertig in 3 - 4 Werktagen"      ,"2.30"                  ,"1"                     ,"true"
"cubilia latine"                     ,"singulis donec simul possit docendi conclusionemque duo molestiae possit facilisi accumsan ullamcorper reformidans dapibus eripuit putent dolorum parturient id"                                                                                                            ,"http://www.provider.de/product/E4N9T","http://www.provider.de/image/bGEBr","R47L48Z9QU","I7Mbhk","Category8" ,"Merchant0"             ,"73.07"         ,"Versandfertig in 6 - 10 Werktagen"     ,"3.01"                  ,"3"                     ,"true"                ,"Merchant4"             ,"28.57"         ,"Versandfertig in 4 - 5 Werktagen"      ,"0.52"                  ,"25"                    ,"true"                ,"Merchant21"            ,"26.04"         ,"Versandfertig in 3 - 5 Wochen"         ,"2.25"                  ,"15"                    ,"false"
"diam sit aperiri"                   ,"ocurreret nonumes cras finibus idque partiendo lectus eripuit curabitur principes suspendisse appareat mauris mediocrem cu facilisi graeco sodales vehicula simul suscipit wisi molestie"                                                                                   ,"http://www.provider.de/product/3s7k5","http://www.provider.de/image/l1Zl9","E8PRPDY1PO","adGYnR","Category17","Merchant26"            ,"14.90"         ,"Versandfertig in 4 - 5 Werktagen"      ,"3.51"                  ,"19"                    ,"false"               ,"Merchant10"            ,"80.44"         ,"Versandfertig in 2 - 3 Wochen"         ,"4.65"                  ,"11"                    ,"false"               ,"Merchant8"             ,"54.68"         ,"Versandfertig in 2 - 3 Werktagen"      ,"4.33"                  ,"21"                    ,"true"
"contentiones magnis antiopam"       ,"conclusionemque orci efficiantur nibh deseruisse cum prodesset vituperatoribus fabellas tractatos scelerisque inciderint falli voluptaria arcu tale epicurei comprehensam omittantur sollicitudin alia idque patrioque"                                                     ,"http://www.provider.de/product/Ut4ir","http://www.provider.de/image/e9seu","1DX5FB83SF","Wi5a41","Category13","Merchant18"            ,"44.83"         ,"Versandfertig in 1 - 2 Werktagen"      ,"3.49"                  ,"1"                     ,"false"               ,"Merchant7"             ,"27.20"         ,"Gewöhnlich versandfertig in 24 Stunden","0.80"                  ,"25"                    ,"true"                ,"Merchant4"             ,"127.08"        ,"Versandfertig in 6 - 10 Werktagen"     ,"0.28"                  ,"10"                    ,"false"
"enim lacinia sonet"                 ,"curabitur errem montes penatibus dolorem corrumpit scripserit id meliore ut quaestio"                                                                                                                                                                                       ,"http://www.provider.de/product/cyfKu","http://www.provider.de/image/MVAcI","QLNNWFSBX2","6poCWj","Category26","Merchant2"             ,"36.71"         ,"Versandfertig in 2 - 3 Werktagen"      ,"3.88"                  ,"16"                    ,"true"                ,"Merchant6"             ,"69.17"         ,"Versandfertig in 2 - 3 Werktagen"      ,"3.53"                  ,"4"                     ,"false"               ,"Merchant2"             ,"17.01"         ,"Versandfertig in 4 - 5 Werktagen"      ,"0.11"                  ,"11"                    ,"true"
"aliquam utamur torquent"            ,"has aeque vivendo imperdiet habemus vehicula ultricies aptent tale malesuada mollis facilisi habeo conceptam postulant nisi massa lobortis ultrices possit constituto noster appareat porta"                                                                                ,"http://www.provider.de/product/RVrkS","http://www.provider.de/image/kyl9G","FPGGIYWJEW","EKtc61","Category0" ,"Merchant15"            ,"106.70"        ,"Versandfertig in 2 - 3 Wochen"         ,"3.44"                  ,"4"                     ,"false"               ,"Merchant17"            ,"17.14"         ,"Versandfertig in 4 - 5 Werktagen"      ,"4.30"                  ,"25"                    ,"false"               ,"Merchant19"            ,"33.15"         ,"Versandfertig in 1 - 3 Wochen"         ,"0.53"                  ,"6"                     ,"false"
"deseruisse viderer novum"           ,"mel hendrerit equidem latine tortor meliore gubergren ac invidunt maecenas vel fugit augue semper molestie in oporteat aptent lacus"                                                                                                                                        ,"http://www.provider.de/product/pcLM7","http://www.provider.de/image/qoLzY","FM1E1JZ8RZ","6TCs9v","Category4" ,"Merchant2"             ,"69.51"         ,"Versandfertig in 1 - 2 Werktagen"      ,"0.86"                  ,"21"                    ,"true"                ,"Merchant15"            ,"20.77"         ,"Versandfertig in 2 - 3 Werktagen"      ,"3.73"                  ,"18"                    ,"false"               ,"Merchant15"            ,"118.40"        ,"Versandfertig in 1 - 3 Wochen"         ,"0.57"                  ,"29"                    ,"false"
"vero sonet dolores"                 ,"eripuit ius oporteat reprehendunt latine interdum ubique inceptos fabellas purus duo necessitatibus partiendo tritani alienum tota suavitate"                                                                                                                               ,"http://www.provider.de/product/8fizg","http://www.provider.de/image/xV5xP","0SZKDLJBXZ","uUSaYZ","Category8" ,"Merchant17"            ,"75.52"         ,"Versandfertig in 2 - 3 Wochen"         ,"2.77"                  ,"29"                    ,"true"                ,"Merchant15"            ,"134.53"        ,"Versandfertig in 3 - 4 Werktagen"      ,"4.91"                  ,"11"                    ,"false"               ,"Merchant18"            ,"90.90"         ,"Versandfertig in 2 - 3 Werktagen"      ,"1.31"                  ,"1"                     ,"true"
"suscipiantur dignissim mentitum"    ,"singulis salutatus mentitum lacinia mi tractatos utinam recteque convallis duo dicam volutpat dicam primis cursus at mediocrem viderer"                                                                                                                                     ,"http://www.provider.de/product/ZIpaa","http://www.provider.de/image/Upfnf","PTX4S1UBBX","JmkQ5j","Category22","Merchant16"            ,"75.87"         ,"Versandfertig in 4 - 5 Werktagen"      ,"0.28"                  ,"16"                    ,"false"               ,"Merchant3"             ,"113.74"        ,"Versandfertig in 6 - 10 Werktagen"     ,"4.63"                  ,"4"                     ,"false"               ,"Merchant15"            ,"83.26"         ,"Versandfertig in 3 - 4 Werktagen"      ,"3.48"                  ,"21"                    ,"false"
"meliore suavitate"                  ,"vulputate morbi reformidans tellus mediocrem massa eu ipsum mandamus natoque nullam urna malorum torquent suavitate constituam appetere splendide unum eu dignissim eirmod adversarium"                                                                                     ,"http://www.provider.de/product/k3GJW","http://www.provider.de/image/HrMjC","ZZJPYL4EVN","I8zmGH","Category8" ,"Merchant8"             ,"41.56"         ,"Versandfertig in 2 - 3 Wochen"         ,"4.45"                  ,"0"                     ,"false"               ,"Merchant13"            ,"113.27"        ,"Versandfertig in 1 - 3 Wochen"         ,"2.25"                  ,"14"                    ,"false"               ,"Merchant25"            ,"127.28"        ,"Versandfertig in 4 - 5 Werktagen"      ,"1.22"                  ,"10"                    ,"false"
"platonem utinam"                    ,"taciti viderer dis utamur agam tritani felis risus dignissim perpetua"                                                                                                                                                                                                      ,"http://www.provider.de/product/UmZir","http://www.provider.de/image/XNr0p","QOSAS2YUEO","5l0d8M","Category18","Merchant1"             ,"49.07"         ,"Versandfertig in 1 - 3 Wochen"         ,"0.52"                  ,"16"                    ,"true"                ,"Merchant8"             ,"13.53"         ,"Versandfertig in 4 - 5 Werktagen"      ,"0.94"                  ,"11"                    ,"true"                ,"Merchant15"            ,"71.37"         ,"Versandfertig in 1 - 3 Wochen"         ,"3.77"                  ,"29"                    ,"false"
"vitae ignota"                       ,"theophrastus populo autem dolorum appetere pretium comprehensam conclusionemque tation dapibus dolore delectus discere movet nobis pri splendide fabulas aptent"                                                                                                            ,"http://www.provider.de/product/D18Tq","http://www.provider.de/image/gvVDv","KST7ZINTI2","Y5fPHu","Category5" ,"Merchant18"            ,"55.91"         ,"Versandfertig in 3 - 4 Werktagen"      ,"1.62"                  ,"13"                    ,"true"                ,"Merchant14"            ,"28.84"         ,"Versandfertig in 2 - 3 Werktagen"      ,"2.87"                  ,"22"                    ,"false"               ,"Merchant17"            ,"110.32"        ,"Versandfertig in 6 - 10 Werktagen"     ,"4.99"                  ,"21"                    ,"false"
"graeci amet sumo"                   ,"eius fames mazim tale deserunt nonumes luptatum affert hinc potenti delectus sollicitudin principes petentium deterruisset definitiones mediocrem dicit harum invenire vidisse placerat at tincidunt maiorum"                                                               ,"http://www.provider.de/product/NQMIZ","http://www.provider.de/image/HVXyb","OVCMMCMWV4","1AadH1","Category16","Merchant26"            ,"15.04"         ,"Versandfertig in 1 - 2 Werktagen"      ,"2.28"                  ,"8"                     ,"true"                ,"Merchant17"            ,"106.43"        ,"Versandfertig in 1 - 3 Wochen"         ,"3.68"                  ,"15"                    ,"false"               ,"Merchant29"            ,"113.53"        ,"Versandfertig in 1 - 3 Wochen"         ,"2.21"                  ,"24"                    ,"true"
"quem dis"                           ,"conceptam mea consetetur qualisque suscipit ut ubique dolore percipit nec aliquet accusata turpis repudiare contentiones salutatus velit sale legere"                                                                                                                       ,"http://www.provider.de/product/Sdbkx","http://www.provider.de/image/Dw5Yo","IZMXGT5HBD","7ZoLUN","Category28","Merchant23"            ,"67.87"         ,"Versandfertig in 1 - 3 Wochen"         ,"3.61"                  ,"1"                     ,"false"               ,"Merchant8"             ,"49.61"         ,"Gewöhnlich versandfertig in 24 Stunden","0.59"                  ,"0"                     ,"false"               ,"Merchant2"             ,"106.77"        ,"Gewöhnlich versandfertig in 24 Stunden","3.97"                  ,"0"                     ,"false"
"simul vis"                          ,"dictas posidonium ultricies omittam docendi viverra veniam platea intellegat luptatum labores conubia mazim principes habeo ea sociis explicari nonumy justo graecis ad"                                                                                                    ,"http://www.provider.de/product/F6j8G","http://www.provider.de/image/sdg2I","DMOSIQEKE9","BdjddQ","Category11","Merchant8"             ,"139.17"        ,"Versandfertig in 4 - 5 Werktagen"      ,"4.13"                  ,"25"                    ,"false"               ,"Merchant0"             ,"49.83"         ,"Versandfertig in 6 - 10 Werktagen"     ,"2.62"                  ,"18"                    ,"false"               ,"Merchant5"             ,"95.42"         ,"Gewöhnlich versandfertig in 24 Stunden","2.03"                  ,"23"                    ,"true"
"curae adipiscing"                   ,"efficitur delicata pretium interpretaris putent dicant offendit veniam sed evertitur alienum nominavi adolescens sodales libris splendide labores scripta tortor menandri nec litora definiebas"                                                                            ,"http://www.provider.de/product/EEQIV","http://www.provider.de/image/d725k","PPKIEFE13R","9s4e4K","Category24","Merchant0"             ,"70.82"         ,"Versandfertig in 3 - 5 Wochen"         ,"1.55"                  ,"6"                     ,"false"               ,"Merchant29"            ,"124.82"        ,"Versandfertig in 2 - 3 Werktagen"      ,"2.59"                  ,"3"                     ,"false"               ,"Merchant1"             ,"49.62"         ,"Versandfertig in 3 - 4 Werktagen"      ,"1.88"                  ,"21"                    ,"false"
"nihil vituperata solet"             ,"alia pro tale interpretaris audire ipsum porttitor melius rhoncus impetus fermentum sociis pellentesque ad placerat dico mea no quem"                                                                                                                                       ,"http://www.provider.de/product/W9Prc","http://www.provider.de/image/8tHtt","YLTYRVVM7Q","zxJgGy","Category4" ,"Merchant9"             ,"84.07"         ,"Versandfertig in 1 - 2 Werktagen"      ,"4.72"                  ,"25"                    ,"true"                ,"Merchant19"            ,"41.21"         ,"Versandfertig in 4 - 5 Werktagen"      ,"1.99"                  ,"13"                    ,"false"               ,"Merchant4"             ,"23.37"         ,"Versandfertig in 1 - 2 Werktagen"      ,"1.10"                  ,"13"                    ,"false"
"partiendo metus"                    ,"mandamus adipiscing antiopam nam ignota causae sagittis fuisset his venenatis dapibus in fames iisque nibh fringilla mauris percipit vehicula dicat veniam ponderum veritus doctus"                                                                                         ,"http://www.provider.de/product/K417R","http://www.provider.de/image/ajXgz","BD3MYBMMR0","z4m2fc","Category13","Merchant20"            ,"17.02"         ,"Versandfertig in 2 - 3 Wochen"         ,"1.15"                  ,"28"                    ,"true"                ,"Merchant21"            ,"44.70"         ,"Versandfertig in 2 - 3 Wochen"         ,"0.32"                  ,"27"                    ,"true"                ,"Merchant24"            ,"113.74"        ,"Versandfertig in 3 - 5 Wochen"         ,"4.91"                  ,"23"                    ,"false"
"montes placerat adipisci"           ,"tortor dolorum mediocrem qualisque intellegebat petentium has urna maiorum signiferumque maluisset nostrum accommodare intellegat tritani euripidis qualisque potenti euismod laoreet postea vidisse volutpat"                                                              ,"http://www.provider.de/product/rUCwj","http://www.provider.de/image/wKQ3i","KNGOTXHIXD","O3T2LS","Category11","Merchant17"            ,"114.91"        ,"Versandfertig in 4 - 5 Werktagen"      ,"2.27"                  ,"16"                    ,"false"               ,"Merchant29"            ,"68.43"         ,"Versandfertig in 1 - 2 Werktagen"      ,"4.46"                  ,"21"                    ,"false"               ,"Merchant21"            ,"63.43"         ,"Versandfertig in 3 - 5 Wochen"         ,"3.35"                  ,"24"                    ,"false"
"rutrum nominavi"                    ,"ridens liber audire litora conceptam eos intellegebat deterruisset verterem ligula condimentum perpetua dolores hendrerit putent vero te no dictumst sumo"                                                                                                                  ,"http://www.provider.de/product/dKHPT","http://www.provider.de/image/O5i0b","7OLCQJESOH","T8x1fX","Category23","Merchant21"            ,"85.24"         ,"Versandfertig in 3 - 4 Werktagen"      ,"1.27"                  ,"28"                    ,"false"               ,"Merchant19"            ,"128.44"        ,"Gewöhnlich versandfertig in 24 Stunden","3.81"                  ,"13"                    ,"true"                ,"Merchant10"            ,"18.38"         ,"Versandfertig in 3 - 4 Werktagen"      ,"4.19"                  ,"4"                     ,"true"
"convallis mauris at"                ,"fastidii invidunt maximus esse torquent theophrastus ea torquent sententiae feugiat meliore prodesset porta usu luptatum risus mnesarchum veritus ornatus graecis cum mediocrem dicta morbi libero ligula voluptatum taciti suscipit"                                       ,"http://www.provider.de/product/nmFyr","http://www.provider.de/image/fPHg8","HJQFSSOUAX","dcGgT2","Category21","Merchant20"            ,"145.11"        ,"Versandfertig in 6 - 10 Werktagen"     ,"4.83"                  ,"11"                    ,"true"                ,"Merchant0"             ,"89.61"         ,"Versandfertig in 3 - 4 Werktagen"      ,"1.82"                  ,"14"                    ,"false"               ,"Merchant9"             ,"138.97"        ,"Versandfertig in 6 - 10 Werktagen"     ,"4.27"                  ,"23"                    ,"true"
"quis dolorem assueverit"            ,"ipsum porro verterem fermentum epicurei torquent mea habitant postea dolorem intellegebat postulant oporteat nulla ancillae tempor"                                                                                                                                         ,"http://www.provider.de/product/7435L","http://www.provider.de/image/iNob1","JNWEFAQW9Q","8Ha6UM","Category23","Merchant26"            ,"46.27"         ,"Versandfertig in 3 - 5 Wochen"         ,"0.51"                  ,"5"                     ,"true"                ,"Merchant9"             ,"38.21"         ,"Versandfertig in 3 - 5 Wochen"         ,"3.01"                  ,"9"                     ,"false"               ,"Merchant18"            ,"99.73"         ,"Versandfertig in 2 - 3 Werktagen"      ,"0.67"                  ,"25"                    ,"false"
"nisl commune ceteros"               ,"urna delectus no theophrastus nulla persecuti lacus fringilla prodesset lectus electram rutrum penatibus fringilla maiorum melius contentiones definitiones iusto sanctus legere eros posuere mollis minim"                                                                 ,"http://www.provider.de/product/TcBOO","http://www.provider.de/image/QlPE4","0DEGUWPPQD","ubiXGA","Category8" ,"Merchant29"            ,"52.22"         ,"Gewöhnlich versandfertig in 24 Stunden","3.93"                  ,"0"                     ,"true"                ,"Merchant6"             ,"113.67"        ,"Versandfertig in 1 - 3 Wochen"         ,"3.39"                  ,"12"                    ,"false"               ,"Merchant12"            ,"114.09"        ,"Versandfertig in 3 - 5 Wochen"         ,"4.86"                  ,"25"                    ,"false"
"aliquid repudiandae"                ,"iaculis quaestio donec perpetua elitr consectetuer percipit qualisque populo epicurei pri discere efficitur percipit qualisque commune audire lacinia numquam vitae antiopam"                                                                                               ,"http://www.provider.de/product/Qzx9t","http://www.provider.de/image/vC5pu","STZPLUGQMN","XUFVpI","Category27","Merchant27"            ,"133.37"        ,"Versandfertig in 1 - 2 Werktagen"      ,"2.31"                  ,"25"                    ,"false"               ,"Merchant5"             ,"79.09"         ,"Versandfertig in 3 - 4 Werktagen"      ,"3.19"                  ,"28"                    ,"false"               ,"Merchant23"            ,"84.96"         ,"Versandfertig in 2 - 3 Werktagen"      ,"2.98"                  ,"10"                    ,"true"
"mnesarchum movet"                   ,"massa quo iaculis sumo solet voluptatibus ius orci magnis arcu vestibulum ludus populo autem consetetur"                                                                                                                                                                    ,"http://www.provider.de/product/EwofY","http://www.provider.de/image/XHXP0","QBVXSRFXBX","RNv0mw","Category7" ,"Merchant6"             ,"96.17"         ,"Versandfertig in 2 - 3 Wochen"         ,"3.92"                  ,"16"                    ,"false"               ,"Merchant11"            ,"54.75"         ,"Versandfertig in 3 - 4 Werktagen"      ,"1.78"                  ,"12"                    ,"false"               ,"Merchant16"            ,"100.28"        ,"Versandfertig in 3 - 4 Werktagen"      ,"4.06"                  ,"6"                     ,"false"
"utinam numquam consetetur"          ,"vel accumsan percipit alia non tritani sanctus debet libris inciderint eros ius senserit gloriatur qui viris eloquentiam cubilia necessitatibus alia fabellas nunc reque aeque metus usu fringilla qui"                                                                     ,"http://www.provider.de/product/KEBPW","http://www.provider.de/image/3ZabE","OFPECFZLZC","dyT5wf","Category26","Merchant1"             ,"137.60"        ,"Versandfertig in 1 - 3 Wochen"         ,"3.30"                  ,"2"                     ,"false"               ,"Merchant3"             ,"88.17"         ,"Versandfertig in 1 - 3 Wochen"         ,"0.38"                  ,"13"                    ,"false"               ,"Merchant3"             ,"51.19"         ,"Versandfertig in 6 - 10 Werktagen"     ,"2.39"                  ,"22"                    ,"false"
